index:ID,package,description,:LABEL
10011,java.awt.image,"Provides classes for creating and modifying images.
Images are processed using a streaming framework that involves an
image producer, optional image filters, and an image consumer.  This
framework makes it possible to progressively render an image while it
is being fetched and generated.  Moreover, the framework allows an
application to discard the storage used by an image and to regenerate
it at any time.  This package provides a number of image producers,
consumers, and filters that you can configure for your image
processing needs.",Package
10012,java.awt.image.renderable,"Provides classes and interfaces for producing
rendering-independent images.",Package
10013,java.awt.print,"Provides classes and interfaces for a general printing API.  The
API includes such features as:

the ability to specify document types
mechanisms for control of page setup and page formats
the ability to manage job control dialogs",Package
10014,java.beans,"Contains classes related to developing
beans -- components
based on the JavaBeans™ architecture.
A few of the
classes are used by beans while they run in an application. 
For example, the event classes are
used by beans that fire property and vetoable change 
events (see 
PropertyChangeEvent). However, most of the classes in this
package are meant to be used by a bean editor (that is, a development environment 
for customizing and putting together beans to create an application). In
particular, these classes help the bean editor create a user 
interface that the user can use to customize the bean. For example, a bean may 
contain a property of a special type that a bean editor may not know how to handle. 
By using the PropertyEditor interface, a bean developer can
provide an editor for this special type.


To minimize the resources used by a bean, the classes used by bean editors are loaded only
when the bean is being edited. They are not needed while the bean is running in an application
and therefore not loaded. This information is kept in what's called a bean-info (see BeanInfo).


Unless explicitly stated, null values or empty Strings are not valid 
parameters for the methods in this package. You may expect to see 
exceptions if these parameters are used.


Long-Term Persistence

As of v1.4,
the java.beans package provides support for 
long-term persistence -- reading and
writing a bean as a textual representation of its property values.
The property values are treated as beans,
and are recursively read or written to capture 
their publicly available state.
This approach is suitable for long-term storage 
because it relies only on public API,
rather than the likely-to-change private implementation.



Note:
The persistence scheme cannot automatically instantiate 
custom inner classes, such as you might use for event handlers.
By using the EventHandler class
instead of inner classes for custom event handlers,
you can avoid this problem.




You read and write beans in XML format using the
XMLDecoder
and 
XMLEncoder
classes, respectively.
One notable feature of the persistence scheme is that
reading in a bean requires no special knowledge of the bean.


Writing out a bean, on the other hand,
sometimes requires special knowledge of the bean's type.
If the bean's state can be
expressed using only the no-argument constructor and 
public getter and setter methods for properties,
no special knowledge is required.
Otherwise, the bean requires a custom persistence delegate --
an object that is in charge of writing out beans of a particular type.
All classes provided in the JDK that descend 
from java.awt.Component, 
as well as all their properties, 
automatically have persistence delegates.



If you need (or choose) to provide a persistence delegate for a bean,
you can do so either by using a 
DefaultPersistenceDelegate
instance
or by creating your own subclass of PersistenceDelegate.
If the only reason a bean needs a persistence delegate 
is because you want to invoke the bean's constructor with 
property values as arguments,
you can create the bean's persistence delegate 
with the one-argument
DefaultPersistenceDelegate
constructor.
Otherwise,
you need to implement your own persistence delegate,
for which you're likely to need the following classes:


 PersistenceDelegate
 The abstract class from which all persistence delegates descend.
     Your subclass should use its knowledge of the bean's type to provide 
     whatever Statements and Expressions
     are necessary to create the bean
     and restore its state.
 Statement
 Represents the invocation of a single method on an object.
     Includes a set of arguments to the method.
 Expression
 A subclass of Statement
     used for methods that return a value.


Once you create a persistence delegate,
you register it using the
setPersistenceDelegate method of
XMLEncoder.


Related Documentation

For overview, architecture, and tutorial documentation, please see:

JavaBeans, a trail in The Java Tutorial.
  Long-Term Persistence, an article in The Swing Connection.",Package
10015,java.beans.beancontext,"Provides classes and interfaces relating to bean context.
A bean context is a container for beans and defines the execution
environment for the beans it contains.  There can be several beans in
a single bean context, and a bean context can be nested within another
bean context.  This package also contains events and listener
interface for beans being added and removed from a bean context.",Package
10016,java.io,"Provides for system input and output through data streams,serialization and the file system.Unless otherwise noted, passing a null argument to a constructoror method in any class or interface in this package will cause a
NullPointerException to be thrown.

Package Specification

 Java Object Serialization Specification 

Related Documentation

For overviews, tutorials, examples, guides, and tool documentation,
please see:

Serialization Enhancements",Package
10017,java.lang,"Provides classes that are fundamental to the design of the Java
 programming language. The most important classes are Object, which is the root of the class hierarchy, and Class, instances of which represent classes at run time.

 Frequently it is necessary to represent a value of primitive
 type as if it were an object. The wrapper classes Boolean,
 Character, Integer, Long, Float,
 and Double serve this purpose.  An object of type Double, for example, contains a field whose type is double,
 representing that value in such a way that a reference to it can be
 stored in a variable of reference type.  These classes also provide
 a number of methods for converting among primitive values, as well
 as supporting such standard methods as equals and hashCode.  The
 Void class is a non-instantiable class that holds a
 reference to a Class object representing the type void.

 The class Math provides commonly used mathematical
 functions such as sine, cosine, and square root. The classes String, StringBuffer, and StringBuilder similarly
 provide commonly used operations on character strings.

 Classes ClassLoader, Process, ProcessBuilder, Runtime, SecurityManager, and
 System provide ""system operations"" that manage the dynamic
 loading of classes, creation of external processes, host
 environment inquiries such as the time of day, and enforcement of
 security policies.

 Class Throwable encompasses objects that may be thrown
 by the throw statement. Subclasses of Throwable
 represent errors and exceptions.

 
Character Encodings

 The specification of the java.nio.charset.Charset class describes the naming conventions
 for character encodings as well as the set of standard encodings
 that must be supported by every implementation of the Java
 platform.",Package
10018,java.lang.annotation,"Provides library support for the Java programming language
 annotation facility.",Package
10019,java.lang.instrument,"Provides services that allow Java programming language agents to instrument programs running on the JVM. 
The mechanism for instrumentation is modification of the byte-codes of methods.

Package Specification
 
An agent is deployed as a JAR file. An attribute in the JAR file manifest specifies the
agent class which will be loaded to start the agent. For implementations that support a command-line 
interface, an agent is started by specifying an option on the command-line.  
Implementations may also support a mechanism to start agents some time after the VM has
started. For example, an implementation may provide a mechanism that allows a tool to 
attach to a running application, and initiate the loading of the tool's agent into
the running application. The details as to how the load is initiated, is implementation
dependent.

Command-Line Interface
 
On implementations with a command-line interface, an agent is started by
adding this option to the command-line:

-javaagent:jarpath[=options]

jarpath is the path to the agent JAR file.
options is the agent options.
This switch may be used multiple times on the same command-line, 
thus creating multiple agents.
More than one agent may use the same jarpath.
An agent JAR file must conform to the JAR file specification.


The manifest of the agent JAR file must contain the attribute Premain-Class. The
value of this attribute is the name of the agent class. The agent class must implement a 
public static premain method similar in principle to the main application 
entry point.  After the Java Virtual Machine (JVM) has initialized, each premain method 
will be called in the order the agents were specified, then the real application
main method will be called. 
Each premain method must return in order for the startup sequence to proceed.


The premain method has one of two possible signatures. The JVM first attempts to
invoke the following method on the agent class:


public static void
premain(String agentArgs, Instrumentation inst);



If the agent class does not implement this method then the JVM will attempt to invoke:


public static void
premain(String agentArgs);



The agent class may also have an agentmain method for use when the agent is started 
after VM startup. When the agent is started using a command-line option, the agentmain
method is not invoked.



The agent class will be loaded by the system class loader
(see ClassLoader.getSystemClassLoader). This is
the class loader which typically loads the class containing the application main method.
The premain methods will be run under the same security and classloader 
rules as the application main method.
There are no modeling restrictions on what the agent premain method may do.
Anything application main can do, including creating threads, is legal from premain.


Each agent is passed its agent options via the agentArgs parameter.
The agent options are passed as a single string,
any additional parsing should be performed by the agent itself.


If the agent cannot be resolved 
(for example, because the agent class cannot be loaded,
or because the agent class does not have an appropriate premain method), the JVM will abort.
If a premain method throws an uncaught exception, the JVM will abort.



Starting Agents After VM Startup

An implementation may provide a mechanism to start agents sometime after the
the VM has started. The details as to how this is initiated are implementation 
specific but typically the application has already started and its 
main method has already been invoked. In cases where an implementation
supports the starting of agents after the VM has started the following applies:


The manifest of the agent JAR must contain the attribute Agent-Class. 
      The value of this attribute is the name of the agent class. 
The agent class must implement a public static agentmain method. 
The system class loader (
      ClassLoader.getSystemClassLoader) must
      support a mechanism to add an agent JAR file to the system class path. 


The agent JAR is appended to the system class path. This is the class loader that typically loads 
the class containing the application main method. The agent class is loaded and the
JVM attempts to invoke the agentmain method. The JVM first attempts to invoke 
the following method on the agent class:


public static void
agentmain(String agentArgs, Instrumentation inst);



If the agent class does not implement this method then the JVM will attempt to invoke:


public static void
agentmain(String agentArgs);



The agent class may also have an premain method for use when the agent is started
using a command-line option. When the agent is started after VM startup the premain
method is not invoked.



The agent is passed its agent options via the agentArgs parameter.
The agent options are passed as a single string,
any additional parsing should be performed by the agent itself. 


The agentmain method should do any necessary initialization 
required to start the agent. When startup is complete the method should 
return. If the agent cannot be started
(for example, because the agent class cannot be loaded,
or because the agent class does not have a conformant agentmain method), the JVM will
not abort. If the agentmain method throws an uncaught exception it will be ignored.



Manifest Attributes
The following manifest attributes are defined for an agent JAR file:


Premain-Class

                        When an agent is specified at JVM launch time this attribute
                        specifies the agent class.
                        That is, the class containing the premain method.
                        When an agent is specified at JVM launch time this attribute
                        is required. If the attribute is not present the JVM will abort.
                        Note: this is a class name, not a file name or path.                                                    

Agent-Class

                        If an implementation supports a mechanism to start agents 
                        sometime after the VM has started then this attribute specifies
                        the agent class.
                        That is, the class containing the agentmain method.
                        This attribute is required, if it is not present the agent
                        will not be started.
                        Note: this is a class name, not a file name or path.

Boot-Class-Path

                        A list of paths to be searched by the bootstrap class
                        loader. Paths represent directories or libraries
                        (commonly referred to as JAR or zip libraries on
                        many platforms).                        
                        These paths are searched by the
                        bootstrap class loader after the platform specific
                        mechanisms of locating a class have failed.
                        Paths are searched in the order listed.
                        Paths in the list are separated by one or more spaces.
                        A path takes the syntax of the path component of a
                        hierarchical URI. The path is
                        absolute if it begins with a slash character ('/'),
                        otherwise it is relative. A relative path is resolved
                        against the absolute path of the agent JAR file.
                        Malformed and non-existent paths are ignored.   
                        When an agent is started sometime after the VM has
                        started then paths that do not represent a JAR file
                        are ignored.
                        This attribute is optional.

Can-Redefine-Classes

                        Boolean (true or false, case irrelevant).
                        Is the ability to redefine classes
                        needed by this agent.
                        Values other than true are considered false.
                        This attribute is optional, the default is false.

Can-Retransform-Classes

                        Boolean (true or false, case irrelevant).
                        Is the ability to retransform classes
                        needed by this agent.
                        Values other than true are considered false.
                        This attribute is optional, the default is false.

Can-Set-Native-Method-Prefix

                        Boolean (true or false, case irrelevant).
                        Is the ability to set native method prefix needed by this agent.
                        Values other than true are considered false.
                        This attribute is optional, the default is false.



 
An agent JAR file may have both the Premain-Class and Agent-Class
attributes present in the manifest. When the agent is started on the command-line using
the -javaagent option then the Premain-Class attribute
specifies the name of the agent class and the Agent-Class attribute is
ignored. Similarly, if the agent is started sometime after the VM has started, then
the Agent-Class attribute specifies the name of the agent class
(the value of Premain-Class attribute is ignored).

Related Documentation

For tool documentation, please see:

JDK Tools and Utilities",Package
10020,java.lang.invoke,"The java.lang.invoke package contains dynamic language support provided directly by
 the Java core class libraries and virtual machine.

 
 As described in the Java Virtual Machine Specification,
 certain types in this package have special relations to dynamic
 language support in the virtual machine:
 
The class MethodHandle contains
 signature polymorphic methods
 which can be linked regardless of their type descriptor.
 Normally, method linkage requires exact matching of type descriptors.
 
The JVM bytecode format supports immediate constants of
 the classes MethodHandle and MethodType.
 

Summary of relevant Java Virtual Machine changes
 The following low-level information summarizes relevant parts of the
 Java Virtual Machine specification.  For full details, please see the
 current version of that specification.

 Each occurrence of an invokedynamic instruction is called a dynamic call site.
 invokedynamic instructions
 A dynamic call site is originally in an unlinked state.  In this state, there is
 no target method for the call site to invoke.
 
 Before the JVM can execute a dynamic call site (an invokedynamic instruction),
 the call site must first be linked.
 Linking is accomplished by calling a bootstrap method
 which is given the static information content of the call site,
 and which must produce a method handle
 that gives the behavior of the call site.
 
 Each invokedynamic instruction statically specifies its own
 bootstrap method as a constant pool reference.
 The constant pool reference also specifies the call site's name and type descriptor,
 just like invokevirtual and the other invoke instructions.
 
 Linking starts with resolving the constant pool entry for the
 bootstrap method, and resolving a MethodType object for
 the type descriptor of the dynamic call site.
 This resolution process may trigger class loading.
 It may therefore throw an error if a class fails to load.
 This error becomes the abnormal termination of the dynamic
 call site execution.
 Linkage does not trigger class initialization.
 
 The bootstrap method is invoked on at least three values:
 
a MethodHandles.Lookup, a lookup object on the caller class in which dynamic call site occurs 
a String, the method name mentioned in the call site 
a MethodType, the resolved type descriptor of the call 
optionally, between 1 and 251 additional static arguments taken from the constant pool 

 Invocation is as if by
 MethodHandle.invoke.
 The returned result must be a CallSite (or a subclass).
 The type of the call site's target must be exactly equal to the type
 derived from the dynamic call site's type descriptor and passed to
 the bootstrap method.
 The call site then becomes permanently linked to the dynamic call site.
 
 As documented in the JVM specification, all failures arising from
 the linkage of a dynamic call site are reported
 by a BootstrapMethodError,
 which is thrown as the abnormal termination of the dynamic call
 site execution.
 If this happens, the same error will the thrown for all subsequent
 attempts to execute the dynamic call site.

 timing of linkage
 A dynamic call site is linked just before its first execution.
 The bootstrap method call implementing the linkage occurs within
 a thread that is attempting a first execution.
 
 If there are several such threads, the bootstrap method may be
 invoked in several threads concurrently.
 Therefore, bootstrap methods which access global application
 data must take the usual precautions against race conditions.
 In any case, every invokedynamic instruction is either
 unlinked or linked to a unique CallSite object.
 
 In an application which requires dynamic call sites with individually
 mutable behaviors, their bootstrap methods should produce distinct
 CallSite objects, one for each linkage request.
 Alternatively, an application can link a single CallSite object
 to several invokedynamic instructions, in which case
 a change to the target method will become visible at each of
 the instructions.
 
 If several threads simultaneously execute a bootstrap method for a single dynamic
 call site, the JVM must choose one CallSite object and install it visibly to
 all threads.  Any other bootstrap method calls are allowed to complete, but their
 results are ignored, and their dynamic call site invocations proceed with the originally
 chosen target object.

 
Discussion:
 These rules do not enable the JVM to duplicate dynamic call sites,
 or to issue “causeless” bootstrap method calls.
 Every dynamic call site transitions at most once from unlinked to linked,
 just before its first invocation.
 There is no way to undo the effect of a completed bootstrap method call.

 types of bootstrap methods
 As long as each bootstrap method can be correctly invoked
 by MethodHandle.invoke, its detailed type is arbitrary.
 For example, the first argument could be Object
 instead of MethodHandles.Lookup, and the return type
 could also be Object instead of CallSite.
 (Note that the types and number of the stacked arguments limit
 the legal kinds of bootstrap methods to appropriately typed
 static methods and constructors of CallSite subclasses.)
 
 If a given invokedynamic instruction specifies no static arguments,
 the instruction's bootstrap method will be invoked on three arguments,
 conveying the instruction's caller class, name, and method type.
 If the invokedynamic instruction specifies one or more static arguments,
 those values will be passed as additional arguments to the method handle.
 (Note that because there is a limit of 255 arguments to any method,
 at most 251 extra arguments can be supplied, since the bootstrap method
 handle itself and its first three arguments must also be stacked.)
 The bootstrap method will be invoked as if by either MethodHandle.invoke
 or invokeWithArguments.  (There is no way to tell the difference.)
 
 The normal argument conversion rules for MethodHandle.invoke apply to all stacked arguments.
 For example, if a pushed value is a primitive type, it may be converted to a reference by boxing conversion.
 If the bootstrap method is a variable arity method (its modifier bit 0x0080 is set),
 then some or all of the arguments specified here may be collected into a trailing array parameter.
 (This is not a special rule, but rather a useful consequence of the interaction
 between CONSTANT_MethodHandle constants, the modifier bit for variable arity methods,
 and the asVarargsCollector transformation.)
 
 Given these rules, here are examples of legal bootstrap method declarations,
 given various numbers N of extra arguments.
 The first rows (marked *) will work for any number of extra arguments.
 
Nsample bootstrap method
*CallSite bootstrap(Lookup caller, String name, MethodType type, Object... args)
*CallSite bootstrap(Object... args)
*CallSite bootstrap(Object caller, Object... nameAndTypeWithArgs)
0CallSite bootstrap(Lookup caller, String name, MethodType type)
0CallSite bootstrap(Lookup caller, Object... nameAndType)
1CallSite bootstrap(Lookup caller, String name, MethodType type, Object arg)
2CallSite bootstrap(Lookup caller, String name, MethodType type, Object... args)
2CallSite bootstrap(Lookup caller, String name, MethodType type, String... args)
2CallSite bootstrap(Lookup caller, String name, MethodType type, String x, int y)

 The last example assumes that the extra arguments are of type
 CONSTANT_String and CONSTANT_Integer, respectively.
 The second-to-last example assumes that all extra arguments are of type
 CONSTANT_String.
 The other examples work with all types of extra arguments.
 
 As noted above, the actual method type of the bootstrap method can vary.
 For example, the fourth argument could be MethodHandle,
 if that is the type of the corresponding constant in
 the CONSTANT_InvokeDynamic entry.
 In that case, the MethodHandle.invoke call will pass the extra method handle
 constant as an Object, but the type matching machinery of MethodHandle.invoke
 will cast the reference back to MethodHandle before invoking the bootstrap method.
 (If a string constant were passed instead, by badly generated code, that cast would then fail,
 resulting in a BootstrapMethodError.)
 
 Extra bootstrap method arguments are intended to allow language implementors
 to safely and compactly encode metadata.
 In principle, the name and extra arguments are redundant,
 since each call site could be given its own unique bootstrap method.
 Such a practice is likely to produce large class files and constant pools.",Package
