index:ID,class,definition,description,:LABEL
20048,java.awt.SystemColor,"public final class SystemColor
extends Color
implements Serializable","
A TextArea object is a multi-line region
 that displays text.
",Class
20049,java.awt.TextArea,"public class TextArea
extends TextComponent","
The TextComponent class is the superclass of
 any component that allows the editing of some text.
",Class
20050,java.awt.TextComponent,"public class TextComponent
extends Component
implements Accessible","
A TextField object is a text component
 that allows for the editing of a single line of text.
",Class
20051,java.awt.TextField,"public class TextField
extends TextComponent","
The TexturePaint class provides a way to fill a
 Shape with a texture that is specified as
 a BufferedImage.
",Class
20052,java.awt.TexturePaint,"public class TexturePaint
extends Object
implements Paint","
A TrayIcon object represents a tray icon that can be
 added to the system tray.
",Class
20053,java.awt.TrayIcon,"public class TrayIcon
extends Object","
The root event class for all AWT events.
",Class
20054,java.awt.AWTEvent,"public abstract class AWTEvent
extends EventObject","
An AWTKeyStroke represents a key action on the
 keyboard, or equivalent input device.
",Class
20055,java.awt.AWTKeyStroke,"public class AWTKeyStroke
extends Object
implements Serializable","
The BasicStroke class defines a basic set of rendering
 attributes for the outlines of graphics primitives, which are rendered
 with a Graphics2D object that has its Stroke attribute set to
 this BasicStroke.
",Class
20056,java.awt.BasicStroke,"public class BasicStroke
extends Object
implements Stroke","
Capabilities and properties of buffers.
",Class
20057,java.awt.BufferCapabilities,"public class BufferCapabilities
extends Object
implements Cloneable","
This class creates a labeled button.
",Class
20058,java.awt.Button,"public class Button
extends Component
implements Accessible","
A Canvas component represents a blank rectangular
 area of the screen onto which the application can draw or from
 which the application can trap input events from the user.
",Class
20059,java.awt.Canvas,"public class Canvas
extends Component
implements Accessible","
A CardLayout object is a layout manager for a
 container.
",Class
20060,java.awt.CardLayout,"public class CardLayout
extends Object
implements LayoutManager2, Serializable","
This class represents a check box that can be included in a menu.
",Class
20061,java.awt.CheckboxMenuItem,"public class CheckboxMenuItem
extends MenuItem
implements ItemSelectable, Accessible","
The Choice class presents a pop-up menu of choices.
",Class
20062,java.awt.Choice,"public class Choice
extends Component
implements ItemSelectable, Accessible","
The Color class is used to encapsulate colors in the default
 sRGB color space or colors in arbitrary color spaces identified by a
 ColorSpace.
",Class
20063,java.awt.Color,"public class Color
extends Object
implements Paint, Serializable","
A generic Abstract Window Toolkit(AWT) container object is a component
 that can contain other AWT components.
",Class
20064,java.awt.Container,"public class Container
extends Component","
A class to encapsulate the bitmap representation of the mouse cursor.
",Class
20065,java.awt.Cursor,"public class Cursor
extends Object
implements Serializable","
The default KeyboardFocusManager for AWT applications.
",Class
20066,java.awt.DefaultKeyboardFocusManager,"public class DefaultKeyboardFocusManager
extends KeyboardFocusManager","
A Dialog is a top-level window with a title and a border
 that is typically used to take some form of input from the user.
",Class
20067,java.awt.Dialog,"public class Dialog
extends Window","
The Dimension class encapsulates the width and
 height of a component (in integer precision) in a single object.
",Class
20068,java.awt.Dimension,"public class Dimension
extends Dimension2D
implements Serializable","
NOTE: The Event class is obsolete and is
 available only for backwards compatilibility.
",Class
20069,java.awt.Event,"public class Event
extends Object
implements Serializable","
The FileDialog class displays a dialog window
 from which the user can select a file.
",Class
20070,java.awt.FileDialog,"public class FileDialog
extends Dialog","
A FocusTraversalPolicy defines the order in which Components with a
 particular focus cycle root are traversed.
",Class
20071,java.awt.FocusTraversalPolicy,"public abstract class FocusTraversalPolicy
extends Object","
The FontMetrics class defines a font metrics object, which
 encapsulates information about the rendering of a particular font on a
 particular screen.
",Class
20072,java.awt.FontMetrics,"public abstract class FontMetrics
extends Object
implements Serializable","
The Graphics class is the abstract base class for
 all graphics contexts that allow an application to draw onto
 components that are realized on various devices, as well as
 onto off-screen images.
",Class
20073,java.awt.Graphics,"public abstract class Graphics
extends Object","
The GraphicsConfigTemplate class is used to obtain a valid
 GraphicsConfiguration.
",Class
20074,java.awt.GraphicsConfigTemplate,"public abstract class GraphicsConfigTemplate
extends Object
implements Serializable","
The GraphicsDevice class describes the graphics devices
 that might be available in a particular graphics environment.
",Class
20075,java.awt.GraphicsDevice,"public abstract class GraphicsDevice
extends Object","
The GridBagConstraints class specifies constraints
 for components that are laid out using the
 GridBagLayout class.
",Class
20076,java.awt.GridBagConstraints,"public class GridBagConstraints
extends Object
implements Cloneable, Serializable","
The GridBagLayoutInfo is an utility class for
 GridBagLayout layout manager.
",Class
20077,java.awt.GridBagLayoutInfo,"public class GridBagLayoutInfo
extends Object
implements Serializable","
The abstract class Image is the superclass of all
 classes that represent graphical images.
",Class
20078,java.awt.Image,"public abstract class Image
extends Object","
An Insets object is a representation of the borders
 of a container.
",Class
20079,java.awt.Insets,"public class Insets
extends Object
implements Cloneable, Serializable","
A type-safe enumeration of possible default selection states.
",Class
20080,java.awt.JobAttributes.DefaultSelectionType,"public static final class JobAttributes.DefaultSelectionType
extends Object","
A type-safe enumeration of possible dialogs to display to the user.
",Class
20081,java.awt.JobAttributes.DialogType,"public static final class JobAttributes.DialogType
extends Object","
A type-safe enumeration of possible multi-page impositions.
",Class
20082,java.awt.JobAttributes.SidesType,"public static final class JobAttributes.SidesType
extends Object","
A Label object is a component for placing text in a
 container.
",Class
20083,java.awt.Label,"public class Label
extends Component
implements Accessible","
The LinearGradientPaint class provides a way to fill
 a Shape with a linear color gradient pattern.
",Class
20084,java.awt.LinearGradientPaint,"public final class LinearGradientPaint
extends MultipleGradientPaint","
The MediaTracker class is a utility class to track
 the status of a number of media objects.
",Class
20085,java.awt.MediaTracker,"public class MediaTracker
extends Object
implements Serializable","
MouseInfo  provides methods for getting information about the mouse,
 such as mouse pointer location and the number of mouse buttons.
",Class
20086,java.awt.MouseInfo,"public class MouseInfo
extends Object","
A set of attributes which control the output of a printed page.
",Class
20087,java.awt.PageAttributes,"public final class PageAttributes
extends Object
implements Cloneable","
A type-safe enumeration of possible paper sizes.
",Class
20088,java.awt.PageAttributes.MediaType,"public static final class PageAttributes.MediaType
extends Object","
A type-safe enumeration of possible origins.
",Class
20089,java.awt.PageAttributes.OriginType,"public static final class PageAttributes.OriginType
extends Object","
Panel is the simplest container class.
",Class
20090,java.awt.Panel,"public class Panel
extends Container
implements Accessible","
A point representing a location in (x,y) coordinate space,
 specified in integer precision.
",Class
20091,java.awt.Point,"public class Point
extends Point2D
implements Serializable","
The Polygon class encapsulates a description of a
 closed, two-dimensional region within a coordinate space.
",Class
20092,java.awt.Polygon,"public class Polygon
extends Object
implements Shape, Serializable","
The RadialGradientPaint class provides a way to fill a shape with
 a circular radial color gradient pattern.
",Class
20093,java.awt.RadialGradientPaint,"public final class RadialGradientPaint
extends MultipleGradientPaint","
The RenderingHints class defines and manages collections of
 keys and associated values which allow an application to provide input
 into the choice of algorithms used by other classes which perform
 rendering and image manipulation services.
",Class
20094,java.awt.RenderingHints,"public class RenderingHints
extends Object
implements Map<Object,Object>, Cloneable","
This class is used to generate native system input events
 for the purposes of test automation, self-running demos, and
 other applications where control of the mouse and keyboard
 is needed.
",Class
20095,java.awt.Robot,"public class Robot
extends Object","
The splash screen can be displayed at application startup, before the
 Java Virtual Machine (JVM) starts.
",Class
20096,java.awt.SplashScreen,"public final class SplashScreen
extends Object","
The SystemTray class represents the system tray for a
 desktop.
",Class
20097,java.awt.SystemTray,"public class SystemTray
extends Object","
This class is the abstract superclass of all actual
 implementations of the Abstract Window Toolkit.
",Class
20098,java.awt.Toolkit,"public abstract class Toolkit
extends Object","
A Window object is a top-level window with no borders and no
 menubar.
",Class
20099,java.awt.Window,"public class Window
extends Container
implements Accessible","
This abstract class is used to serve as a color space tag to identify the
 specific color space of a Color object or, via a ColorModel object,
 of an Image, a BufferedImage, or a GraphicsDevice.
",Class
20100,java.awt.color.ColorSpace,"public abstract class ColorSpace
extends Object
implements Serializable","
A representation of color profile data for device independent and
 device dependent color spaces based on the International Color
 Consortium Specification ICC.1:2001-12, File Format for Color Profiles,
 (see  http://www.color.org).
",Class
20101,java.awt.color.ICC_Profile,"public class ICC_Profile
extends Object
implements Serializable","
The ICC_ProfileRGB class is a subclass of the ICC_Profile class
 that represents profiles which meet the following criteria:
 
 The profile's color space type is RGB.
 The profile includes the redColorantTag,
 greenColorantTag, blueColorantTag,
 redTRCTag, greenTRCTag,
 blueTRCTag, and mediaWhitePointTag tags.
 
 The ICC_Profile getInstance method will
 return an ICC_ProfileRGB object when these conditions are met.
",Class
20102,java.awt.color.ICC_ProfileRGB,"public class ICC_ProfileRGB
extends ICC_Profile","
The ICC_ColorSpace class is an implementation of the abstract
 ColorSpace class.
",Class
20103,java.awt.color.ICC_ColorSpace,"public class ICC_ColorSpace
extends ColorSpace","
A subclass of the ICC_Profile class which represents profiles
 which meet the following criteria: the color space type of the
 profile is TYPE_GRAY and the profile includes the grayTRCTag and
 mediaWhitePointTag tags.
",Class
20104,java.awt.color.ICC_ProfileGray,"public class ICC_ProfileGray
extends ICC_Profile","
A class that implements a mechanism to transfer data using
 cut/copy/paste operations.
",Class
20105,java.awt.datatransfer.Clipboard,"public class Clipboard
extends Object","
FlavorEvent is used to notify interested parties
 that available DataFlavors have changed in the
 Clipboard (the event source).
",Class
20106,java.awt.datatransfer.FlavorEvent,"public class FlavorEvent
extends EventObject","
The SystemFlavorMap is a configurable map between ""natives"" (Strings), which
 correspond to platform-specific data formats, and ""flavors"" (DataFlavors),
 which correspond to platform-independent MIME types.
",Class
20107,java.awt.datatransfer.SystemFlavorMap,"public final class SystemFlavorMap
extends Object
implements FlavorMap, FlavorTable","
A DataFlavor provides meta information about data.
",Class
20108,java.awt.datatransfer.DataFlavor,"public class DataFlavor
extends Object
implements Externalizable, Cloneable","
A Transferable which implements the capability required
 to transfer a String.
",Class
20109,java.awt.datatransfer.StringSelection,"public class StringSelection
extends Object
implements Transferable, ClipboardOwner","
This class contains constant values representing
 the type of action(s) to be performed by a Drag and Drop operation.
",Class
20110,java.awt.dnd.DnDConstants,"public final class DnDConstants
extends Object","
The DragGestureRecognizer is an
 abstract base class for the specification
 of a platform-dependent listener that can be associated with a particular
 Component in order to
 identify platform-dependent drag initiating gestures.
",Class
20111,java.awt.dnd.DragGestureRecognizer,"public abstract class DragGestureRecognizer
extends Object
implements Serializable","
An abstract adapter class for receiving drag source events.
",Class
20112,java.awt.dnd.DragSourceAdapter,"public abstract class DragSourceAdapter
extends Object
implements DragSourceListener, DragSourceMotionListener","
The DragSourceDragEvent is
 delivered from the DragSourceContextPeer,
 via the DragSourceContext, to the DragSourceListener
 registered with that DragSourceContext and with its associated
 DragSource.
",Class
20113,java.awt.dnd.DragSourceDragEvent,"public class DragSourceDragEvent
extends DragSourceEvent","
This class is the base class for
 DragSourceDragEvent and
 DragSourceDropEvent.
",Class
20114,java.awt.dnd.DragSourceEvent,"public class DragSourceEvent
extends EventObject","
this protected nested class implements autoscrolling
",Class
20115,java.awt.dnd.DropTarget.DropTargetAutoScroller,"protected static class DropTarget.DropTargetAutoScroller
extends Object
implements ActionListener","
A DropTargetContext is created
 whenever the logical cursor associated
 with a Drag and Drop operation coincides with the visible geometry of
 a Component associated with a DropTarget.
",Class
20116,java.awt.dnd.DropTargetContext,"public class DropTargetContext
extends Object
implements Serializable","
The DropTargetDragEvent is delivered to a
 DropTargetListener via its
 dragEnter() and dragOver() methods.
",Class
20117,java.awt.dnd.DropTargetDragEvent,"public class DropTargetDragEvent
extends DropTargetEvent","
The DropTargetEvent is the base
 class for both the DropTargetDragEvent
 and the DropTargetDropEvent.
",Class
20118,java.awt.dnd.DropTargetEvent,"public class DropTargetEvent
extends EventObject","
A DragGestureEvent is passed
 to DragGestureListener's
 dragGestureRecognized() method
 when a particular DragGestureRecognizer detects that a
 platform dependent drag initiating gesture has occurred
 on the Component that it is tracking.
",Class
20119,java.awt.dnd.DragGestureEvent,"public class DragGestureEvent
extends EventObject","
The DragSource is the entity responsible
 for the initiation of the Drag
 and Drop operation, and may be used in a number of scenarios:
 
 1 default instance per JVM for the lifetime of that JVM.
",Class
20120,java.awt.dnd.DragSource,"public class DragSource
extends Object
implements Serializable","
The DragSourceContext class is responsible for managing the
 initiator side of the Drag and Drop protocol.
",Class
20121,java.awt.dnd.DragSourceContext,"public class DragSourceContext
extends Object
implements DragSourceListener, DragSourceMotionListener, Serializable","
The DragSourceDropEvent is delivered
 from the DragSourceContextPeer,
 via the DragSourceContext, to the dragDropEnd
 method of DragSourceListeners registered with that
 DragSourceContext and with its associated
 DragSource.
",Class
20122,java.awt.dnd.DragSourceDropEvent,"public class DragSourceDropEvent
extends DragSourceEvent","
The DropTarget is associated
 with a Component when that Component
 wishes
 to accept drops during Drag and Drop operations.
",Class
20123,java.awt.dnd.DropTarget,"public class DropTarget
extends Object
implements DropTargetListener, Serializable","
An abstract adapter class for receiving drop target events.
",Class
20124,java.awt.dnd.DropTargetAdapter,"public abstract class DropTargetAdapter
extends Object
implements DropTargetListener","
The DropTargetDropEvent is delivered
 via the DropTargetListener drop() method.
",Class
20125,java.awt.dnd.DropTargetDropEvent,"public class DropTargetDropEvent
extends DropTargetEvent","
This abstract subclass of DragGestureRecognizer
 defines a DragGestureRecognizer
 for mouse-based gestures.
",Class
20126,java.awt.dnd.MouseDragGestureRecognizer,"public abstract class MouseDragGestureRecognizer
extends DragGestureRecognizer
implements MouseListener, MouseMotionListener","
A semantic event which indicates that a component-defined action occurred.
",Class
20127,java.awt.event.ActionEvent,"public class ActionEvent
extends AWTEvent","
A class which extends the EventListenerProxy
 specifically for adding an AWTEventListener
 for a specific event mask.
",Class
20128,java.awt.event.AWTEventListenerProxy,"public class AWTEventListenerProxy
extends EventListenerProxy<AWTEventListener>
implements AWTEventListener","
A low-level event which indicates that a component moved, changed
 size, or changed visibility (also, the root class for the other
 component-level events).
",Class
20129,java.awt.event.ComponentEvent,"public class ComponentEvent
extends AWTEvent","
A low-level event which indicates that a container's contents
 changed because a component was added or removed.
",Class
20130,java.awt.event.ContainerEvent,"public class ContainerEvent
extends ComponentEvent","
A low-level event which indicates that a Component has gained or lost the
 input focus.
",Class
20131,java.awt.event.FocusEvent,"public class FocusEvent
extends ComponentEvent","
An event which indicates a change to the Component
 hierarchy to which Component belongs.
",Class
20132,java.awt.event.HierarchyEvent,"public class HierarchyEvent
extends AWTEvent","
Input method events contain information about text that is being
 composed using an input method.
",Class
20133,java.awt.event.InputMethodEvent,"public class InputMethodEvent
extends AWTEvent","
A semantic event which indicates that an item was selected or deselected.
",Class
20134,java.awt.event.ItemEvent,"public class ItemEvent
extends AWTEvent","
An event which indicates that a keystroke occurred in a component.
",Class
20135,java.awt.event.KeyEvent,"public class KeyEvent
extends InputEvent","
An event which indicates that a mouse action occurred in a component.
",Class
20136,java.awt.event.MouseEvent,"public class MouseEvent
extends InputEvent","
An event which indicates that the mouse wheel was rotated in a component.
",Class
20137,java.awt.event.MouseWheelEvent,"public class MouseWheelEvent
extends MouseEvent","
A semantic event which indicates that an object's text changed.
",Class
20138,java.awt.event.TextEvent,"public class TextEvent
extends AWTEvent","
A low-level event that indicates that a window has changed its status.
",Class
20139,java.awt.event.WindowEvent,"public class WindowEvent
extends ComponentEvent","
The adjustment event emitted by Adjustable objects like
 Scrollbar and ScrollPane.
",Class
20140,java.awt.event.AdjustmentEvent,"public class AdjustmentEvent
extends AWTEvent","
An abstract adapter class for receiving component events.
",Class
20141,java.awt.event.ComponentAdapter,"public abstract class ComponentAdapter
extends Object
implements ComponentListener","
An abstract adapter class for receiving container events.
",Class
20142,java.awt.event.ContainerAdapter,"public abstract class ContainerAdapter
extends Object
implements ContainerListener","
An abstract adapter class for receiving keyboard focus events.
",Class
20143,java.awt.event.FocusAdapter,"public abstract class FocusAdapter
extends Object
implements FocusListener","
An abstract adapter class for receiving ancestor moved and resized events.
",Class
20144,java.awt.event.HierarchyBoundsAdapter,"public abstract class HierarchyBoundsAdapter
extends Object
implements HierarchyBoundsListener","
The root event class for all component-level input events.
",Class
20145,java.awt.event.InputEvent,"public abstract class InputEvent
extends ComponentEvent","
An event which executes the run() method on a Runnable
  when dispatched by the AWT event dispatcher thread.
",Class
20146,java.awt.event.InvocationEvent,"public class InvocationEvent
extends AWTEvent
implements ActiveEvent","
An abstract adapter class for receiving keyboard events.
",Class
20147,java.awt.event.KeyAdapter,"public abstract class KeyAdapter
extends Object
implements KeyListener","
An abstract adapter class for receiving mouse events.
",Class
20148,java.awt.event.MouseAdapter,"public abstract class MouseAdapter
extends Object
implements MouseListener, MouseWheelListener, MouseMotionListener","
An abstract adapter class for receiving mouse motion events.
",Class
20149,java.awt.event.MouseMotionAdapter,"public abstract class MouseMotionAdapter
extends Object
implements MouseMotionListener","
The component-level paint event.
",Class
20150,java.awt.event.PaintEvent,"public class PaintEvent
extends ComponentEvent","
An abstract adapter class for receiving window events.
",Class
20151,java.awt.event.WindowAdapter,"public abstract class WindowAdapter
extends Object
implements WindowListener, WindowStateListener, WindowFocusListener","
The FontRenderContext class is a container for the
   information needed to correctly measure text.
",Class
20152,java.awt.font.FontRenderContext,"public class FontRenderContext
extends Object","
The GlyphMetrics class represents infomation for a
 single glyph.
",Class
20153,java.awt.font.GlyphMetrics,"public final class GlyphMetrics
extends Object","
This class is used with the CHAR_REPLACEMENT attribute.
",Class
20154,java.awt.font.GraphicAttribute,"public abstract class GraphicAttribute
extends Object","
LayoutPath provides a mapping between locations relative to the
 baseline and points in user space.
",Class
20155,java.awt.font.LayoutPath,"public abstract class LayoutPath
extends Object","
The LineMetrics class allows access to the
 metrics needed to layout characters along a line
 and to layout of a set of lines.
",Class
20156,java.awt.font.LineMetrics,"public abstract class LineMetrics
extends Object","
The ShapeGraphicAttribute class is an implementation of
 GraphicAttribute that draws shapes in a TextLayout.
",Class
20157,java.awt.font.ShapeGraphicAttribute,"public final class ShapeGraphicAttribute
extends GraphicAttribute","
The TextHitInfo class represents a character position in a
 text model, and a bias, or ""side,"" of the character.
",Class
20158,java.awt.font.TextHitInfo,"public final class TextHitInfo
extends Object","
Defines a policy for determining the strong caret location.
",Class
20159,java.awt.font.TextLayout.CaretPolicy,"public static class TextLayout.CaretPolicy
extends Object","
The TransformAttribute class provides an immutable
 wrapper for a transform so that it is safe to use as an attribute.
",Class
20160,java.awt.font.TransformAttribute,"public final class TransformAttribute
extends Object
implements Serializable","
The GlyphJustificationInfo class represents information
 about the justification properties of a glyph.
",Class
20161,java.awt.font.GlyphJustificationInfo,"public final class GlyphJustificationInfo
extends Object","
A GlyphVector object is a collection of glyphs
 containing geometric information for the placement of each glyph
 in a transformed coordinate space which corresponds to the
 device on which the GlyphVector is ultimately
 displayed.
",Class
20162,java.awt.font.GlyphVector,"public abstract class GlyphVector
extends Object
implements Cloneable","
The ImageGraphicAttribute class is an implementation of
 GraphicAttribute which draws images in
 a TextLayout.
",Class
20163,java.awt.font.ImageGraphicAttribute,"public final class ImageGraphicAttribute
extends GraphicAttribute","
The LineBreakMeasurer class allows styled text to be
 broken into lines (or segments) that fit within a particular visual
 advance.
",Class
20164,java.awt.font.LineBreakMeasurer,"public final class LineBreakMeasurer
extends Object","
The NumericShaper class is used to convert Latin-1 (European)
 digits to other Unicode decimal digits.
",Class
20165,java.awt.font.NumericShaper,"public final class NumericShaper
extends Object
implements Serializable","
The TextAttribute class defines attribute keys and
 attribute values used for text rendering.
",Class
20166,java.awt.font.TextAttribute,"public final class TextAttribute
extends AttributedCharacterIterator.Attribute","
TextLayout is an immutable graphical representation of styled
 character data.
",Class
20167,java.awt.font.TextLayout,"public final class TextLayout
extends Object
implements Cloneable","
The TextMeasurer class provides the primitive operations
 needed for line break: measuring up to a given advance, determining the
 advance of a range of characters, and generating a
 TextLayout for a range of characters.
",Class
20168,java.awt.font.TextMeasurer,"public final class TextMeasurer
extends Object
implements Cloneable","
The AffineTransform class represents a 2D affine transform
 that performs a linear mapping from 2D coordinates to other 2D
 coordinates that preserves the ""straightness"" and
 ""parallelness"" of lines.
",Class
20169,java.awt.geom.AffineTransform,"public class AffineTransform
extends Object
implements Cloneable, Serializable","
This class defines an arc specified in double precision.
",Class
